SRR15458309,SAMN20702932
SRR15458310,SAMN20702932
SRR15458311,SAMN20702932
SRR15458312,SAMN20702932
SRR15458313,SAMN20702932
SRR15458314,SAMN20702932
SRR15458315,SAMN20702932
SRR15458316,SAMN20702932
SRR15458317,SAMN20702932
SRR15458318,SAMN20702932
SRR15458319,SAMN20702932
SRR15458320,SAMN20702932
SRR15458321,SAMN20702932
SRR15458322,SAMN20702932
SRR15458323,SAMN20702932
SRR15458324,SAMN20702932
SRR15458325,SAMN20702932
SRR15458326,SAMN20702932
SRR15458327,SAMN20702932
SRR15458328,SAMN20702932
SRR15458329,SAMN20702932
SRR15458330,SAMN20702932
SRR15458331,SAMN20702932
SRR15458332,SAMN20702932
SRR15458333,SAMN20702932
SRR15458334,SAMN20702932
SRR15458335,SAMN20702932
SRR15458336,SAMN20702932
SRR15458337,SAMN20702932
SRR15458338,SAMN20702932
SRR15458339,SAMN20702932
SRR15458340,SAMN20702932
SRR15458341,SAMN20702932
SRR15458342,SAMN20702932
SRR15458343,SAMN20702932
SRR15458344,SAMN20702932
SRR15458345,SAMN20702932
SRR15458346,SAMN20702932
SRR15458347,SAMN20702932
SRR15458348,SAMN20702932
SRR15458349,SAMN20702932
SRR15458350,SAMN20702932
SRR15458351,SAMN20702932
SRR15458352,SAMN20702932
SRR15458353,SAMN20702932
SRR15458354,SAMN20702932
SRR15458355,SAMN20702932
SRR15458356,SAMN20702932
SRR15458357,SAMN20702932
SRR15458358,SAMN20702932
SRR15458359,SAMN20702932
SRR15458360,SAMN20702932
SRR15458361,SAMN20702932
SRR15458362,SAMN20702932
SRR15458363,SAMN20702932
SRR15458364,SAMN20702932
SRR15458365,SAMN20702932
SRR15458366,SAMN20702932
SRR15458367,SAMN20702932
SRR15458368,SAMN20702932
SRR15458369,SAMN20702932
SRR15458370,SAMN20702932
SRR15458371,SAMN20702932
SRR15458372,SAMN20702932
SRR15458373,SAMN20702932
SRR15458374,SAMN20702932
SRR15458375,SAMN20702932
SRR15458376,SAMN20702932
SRR15458377,SAMN20702932
SRR15458378,SAMN20702932
SRR15458379,SAMN20702932
SRR15458380,SAMN20702932
SRR15458381,SAMN20702932
SRR15458382,SAMN20702932
SRR15458383,SAMN20702932
SRR15458384,SAMN20702932
SRR15458385,SAMN20702932
SRR15458386,SAMN20702932
SRR15458387,SAMN20702932
SRR15458388,SAMN20702932
SRR15458389,SAMN20702932
SRR15458390,SAMN20702932
SRR15458391,SAMN20702932
SRR15458392,SAMN20702932
SRR15458393,SAMN20702932
SRR15458394,SAMN20702932
SRR15458395,SAMN20702932
SRR15458396,SAMN20702932
SRR15458397,SAMN20702932
SRR15458398,SAMN20702932
SRR15458399,SAMN20702932
SRR15458400,SAMN20702932
SRR15458401,SAMN20702932
SRR15458402,SAMN20702932
SRR15458403,SAMN20702932
SRR15458404,SAMN20702932
SRR15458405,SAMN20702932
SRR15458406,SAMN20702932
SRR15458407,SAMN20702932
SRR15458408,SAMN20702932
SRR15458409,SAMN20702932
SRR15458410,SAMN20702932
SRR15458411,SAMN20702932
SRR15458412,SAMN20702932
SRR15458413,SAMN20702932
SRR15506176,SAMN20841305
SRR15506177,SAMN20841304
SRR15506178,SAMN20841303
SRR15506179,SAMN20841302
SRR1555232,SAMN03000708
SRR1555233,SAMN03000709
SRR1555234,SAMN03000710
SRR1555235,SAMN03000711
SRR1555236,SAMN03000712
SRR1555237,SAMN03000713
SRR1555238,SAMN03000714
SRR1555239,SAMN03000715
SRR1555240,SAMN03000716
SRR1555241,SAMN03000717
SRR1555242,SAMN03000718
SRR1555243,SAMN03000719
SRR1555244,SAMN03000720
SRR1555245,SAMN03000721
SRR15601584,SAMN20964345
SRR15601585,SAMN20964344
SRR15601586,SAMN20964343
SRR15601587,SAMN20964342
SRR15601588,SAMN20964341
SRR15601589,SAMN20964340
SRR15601590,SAMN20964339
SRR15601591,SAMN20964338
SRR15602385,SAMN20965968
SRR15602386,SAMN20965967
SRR15607172,SAMN20970029
SRR15607173,SAMN20970028
SRR15610889,SAMN20971787
SRR15610890,SAMN20971788
SRR15610891,SAMN20971789
SRR15610892,SAMN20971790
SRR15610893,SAMN20971791
SRR15610894,SAMN20971792
SRR15610895,SAMN20971793
SRR15610896,SAMN20971794
SRR15610897,SAMN20971795
SRR15610898,SAMN20971796
SRR15610899,SAMN20971797
SRR15610900,SAMN20972142
