SRR10842077,SAMN13746631
SRR10842078,SAMN13746630
SRR10842079,SAMN13746628
SRR10842080,SAMN13746627
SRR10842081,SAMN13746626
SRR10842082,SAMN13746625
SRR10842083,SAMN13746624
SRR10842084,SAMN13746623
SRR10842085,SAMN13746622
SRR10842086,SAMN13746621
SRR10842087,SAMN13746620
SRR10842088,SAMN13746619
SRR10842089,SAMN13746618
SRR10842090,SAMN13746617
SRR10842091,SAMN13746661
SRR10842092,SAMN13746660
SRR10842093,SAMN13746657
SRR10849014,SAMN13743073
SRR10849015,SAMN13743072
SRR10849016,SAMN13743071
SRR10849017,SAMN13743070
SRR10849018,SAMN13743069
SRR10849019,SAMN13743068
SRR10849020,SAMN13743067
SRR10849021,SAMN13743066
SRR10849022,SAMN13743065
SRR11015823,SAMN13977585
SRR11015824,SAMN13977585
SRR11015825,SAMN13977585
SRR11015826,SAMN13977585
SRR11015827,SAMN13977585
SRR11015828,SAMN13977585
SRR11015829,SAMN13977585
SRR11015830,SAMN13977585
SRR11015831,SAMN13977585
SRR11015832,SAMN13977585
SRR11015833,SAMN13977585
SRR11015834,SAMN13977585
SRR11015835,SAMN13977585
SRR11015836,SAMN13977585
SRR11015837,SAMN13977585
SRR11015838,SAMN13977585
SRR11015839,SAMN13977585
SRR11015840,SAMN13977585
SRR11015841,SAMN13977585
SRR11015842,SAMN13977585
SRR11047177,SAMN14070099
SRR11047178,SAMN14070098
SRR11047179,SAMN14070097
SRR11047180,SAMN14070096
SRR11047181,SAMN14070095
SRR11047182,SAMN14070094
SRR11051782,SAMN14069580
SRR11051783,SAMN14069579
SRR11051784,SAMN14069578
SRR11051785,SAMN14069577
SRR11051786,SAMN14069576
SRR11051787,SAMN14069575
SRR11098891,SAMN14074111
SRR11098892,SAMN14074111
SRR11098893,SAMN14074110
SRR11098894,SAMN14074110
SRR11098895,SAMN14074111
SRR11098896,SAMN14074110
SRR11219633,SAMN14277246
SRR11219634,SAMN14277285
SRR11219635,SAMN14277284
SRR11219636,SAMN14277283
SRR11219637,SAMN14277282
SRR11219638,SAMN14277281
SRR11219639,SAMN14277280
SRR11219640,SAMN14277279
SRR11219641,SAMN14277278
SRR11219642,SAMN14272045
SRR11219643,SAMN14272044
SRR11219644,SAMN14272043
SRR11219645,SAMN14272031
SRR11219646,SAMN14272030
SRR11219647,SAMN14272025
SRR11219648,SAMN14272029
SRR11219649,SAMN14272028
SRR11219650,SAMN14272027
SRR11219651,SAMN14272026
SRR11219652,SAMN14272024
SRR11292273,SAMN14360510
SRR11292274,SAMN14360509
SRR11292275,SAMN14360508
SRR11292276,SAMN14360507
SRR11292277,SAMN14360506
SRR11292278,SAMN14360505
SRR11292279,SAMN14360504
SRR11292280,SAMN14360503
SRR11308232,SAMN14379813
SRR11308233,SAMN14379813
SRR11308234,SAMN14379813
SRR11308235,SAMN14379813
SRR11308236,SAMN14379813
SRR11308237,SAMN14379813
SRR11308238,SAMN14379813
SRR11308239,SAMN14379813
SRR11308240,SAMN14379813
SRR11308241,SAMN14379813
SRR11308242,SAMN14379813
SRR11308243,SAMN14379813
SRR11362872,SAMN14409621
SRR11362873,SAMN14409620
SRR11362874,SAMN14409619
SRR11362875,SAMN14409618
SRR11362876,SAMN14409617
SRR11362877,SAMN14409616
SRR11362878,SAMN14409615
SRR11362879,SAMN14409614
SRR11362880,SAMN14409623
SRR11362881,SAMN14409622
SRR11362882,SAMN14409613
SRR11362883,SAMN14409612
SRR1138584,SAMN02380536
SRR1138585,SAMN02380549
SRR1138586,SAMN02382015
SRR1138587,SAMN02380553
SRR1138590,SAMN02380554
SRR1138591,SAMN02380552
SRR1138592,SAMN02380551
SRR1138594,SAMN02380550
SRR1138595,SAMN02380555
SRR1139192,SAMN02382018
SRR1139281,SAMN02382019
SRR1139352,SAMN02382016
SRR1139353,SAMN02382017
SRR11449194,SAMN14474689
SRR11449195,SAMN14474688
SRR11449196,SAMN14474687
SRR11449197,SAMN14474686
SRR11449198,SAMN14474685
SRR11449199,SAMN14474684
SRR11449200,SAMN14474683
SRR11449201,SAMN14474682
SRR11449202,SAMN14474695
SRR11449203,SAMN14474694
SRR11449204,SAMN14474693
SRR11449205,SAMN14474692
SRR11449206,SAMN14474691
SRR11449207,SAMN14474690
SRR11449208,SAMN14474681
SRR11449209,SAMN14474680
SRR1145155,SAMN02597090
SRR1145156,SAMN02597091
SRR1145157,SAMN02597092
SRR1145158,SAMN02597093
SRR1145159,SAMN02597094
SRR1145160,SAMN02597095
SRR1145161,SAMN02597096
SRR1145162,SAMN02597097
SRR1145163,SAMN02597098
SRR1145164,SAMN02597099
SRR1145165,SAMN02597100
SRR1145166,SAMN02597101
SRR1145167,SAMN02597102
SRR1145168,SAMN02597103
SRR1145169,SAMN02597104
